#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Talaromyces stipitatus ATCC 10500","Eukaryota;Fungi;Ascomycetes","ATCC 10500","SAMN02953686","PRJNA19557","GCA_000003125.1","Scaffold",35.6854,46.1,,"ABAS01",820,13252,"2007-05-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/003/125/GCA_000003125.1_JCVI-TSTA1-3.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/125/GCF_000003125.1_JCVI-TSTA1-3.0"
"Cryptosporidium muris RN66","Eukaryota;Protists;Apicomplexans","RN66","SAMN02953683","PRJNA19553","GCA_000006515.1","Scaffold",9.24525,28.5,,"AAZY02",84,3934,"2007-05-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/515/GCA_000006515.1_JCVI_cmg_v1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/515/GCF_000006515.1_JCVI_cmg_v1.0"
"Ficedula albicollis","Eukaryota;Animals;Birds","OC2","SAMN02981387","PRJNA208061","GCA_000247815.2"," Chromosome",1118.34,44.2999,"chromosome 1:NC_021671.1/CM001988.1; chromosome 1A:NC_021672.1/CM001989.1; chromosome 2:NC_021673.1/CM001990.1; chromosome 3:NC_021674.1/CM001991.1; chromosome 4:NC_021675.1/CM001992.1; chromosome 4A:NC_021676.1/CM001993.1; chromosome 5:NC_021677.1/CM001994.1; chromosome 6:NC_021678.1/CM001995.1; chromosome 7:NC_021679.1/CM001996.1; chromosome 8:NC_021680.1/CM001997.1; chromosome 9:NC_021681.1/CM001998.1; chromosome 10:NC_021682.1/CM001999.1; chromosome 11:NC_021683.1/CM002000.1; chromosome 12:NC_021684.1/CM002001.1; chromosome 13:NC_021685.1/CM002002.1; chromosome 14:NC_021686.1/CM002003.1; chromosome 15:NC_021687.1/CM002004.1; chromosome 17:NC_021688.1/CM002005.1; chromosome 18:NC_021689.1/CM002006.1; chromosome 19:NC_021690.1/CM002007.1; chromosome 20:NC_021691.1/CM002008.1; chromosome 21:NC_021692.1/CM002009.1; chromosome 22:NC_021693.1/CM002010.1; chromosome 23:NC_021694.1/CM002011.1; chromosome 24:NC_021695.1/CM002012.1; chromosome 25:NC_021696.1/CM002013.1; chromosome 26:NC_021697.1/CM002014.1; chromosome 27:NC_021698.1/CM002015.1; chromosome 28:NC_021699.1/CM002016.1; chromosome Z:NC_021700.1/CM002017.1; linkage group LG34:NC_021701.1/CM002018.1; linkage group LG35:NC_021702.1/CM002019.1; linkage group LGE22:NC_021703.1/CM002020.1; mitochondrion MT:NC_021621.1/KF293721.1","AGTO02",21836,26464,"2012-11-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/247/815/GCA_000247815.2_FicAlb1.5","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/247/815/GCF_000247815.1_FicAlb1.5"
"Myotis brandtii","Eukaryota;Animals;Mammals","","SAMN01801565","PRJNA218631","GCA_000412655.1","Scaffold",2107.24,42.9,,"ANKR01",169750,40808,"2013-06-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/412/655/GCA_000412655.1_ASM41265v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/412/655/GCF_000412655.1_ASM41265v1"
"Anthracocystis flocculosa PF-1","Eukaryota;Fungi;Basidiomycetes","PF-1","SAMN02981510","PRJNA245148","GCA_000417875.1","Scaffold",23.3054,65,,"AOUS01",39,6877,"2013-06-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/417/875/GCA_000417875.1_Pflocc_1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/417/875/GCF_000417875.1_Pflocc_1.0"
"Zizania latifolia","Eukaryota;Plants;Land Plants","","SAMN02981538","PRJNA187578","GCA_000418225.1","Scaffold",603.989,44.4,,"ASSH01",4522,0,"2013-07-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/418/225/GCA_000418225.1_Zizania_latifolia_v01",
"Chondrus crispus","Eukaryota;Other;Other","Stackhouse","SAMEA2272275","PRJEA78309","GCA_000350225.2","Scaffold",104.98,52.8585,"plastid Pltd:NC_020795.1/HF562234.1","CAKH01",926,9807,"2013-03-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/350/225/GCA_000350225.2_ASM35022v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/350/225/GCF_000350225.1_ASM35022v2"
"Leishmania amazonensis","Eukaryota;Protists;Kinetoplasts","","SAMN02953847","PRJNA173202","GCA_000438535.1","Scaffold",29.0293,59.3,,"APNT01",2627,0,"2013-07-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/438/535/GCA_000438535.1_LeiAma1.0",
"Anopheles nili","Eukaryota;Animals;Insects","","SAMN02953855","PRJNA197423","GCA_000439205.1","Scaffold",98.32,45.6,,"ATLZ01",51048,0,"2013-07-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/439/205/GCA_000439205.1_Anili1",
"Phytophthora x alni","Eukaryota;Protists;Other Protists","","SAMN02178788","PRJNA190823","GCA_000439335.1","Scaffold",236,51.3,,"AUPN01",118474,0,"2013-07-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/439/335/GCA_000439335.1_Phyto_alni_1.0",
"Leishmania turanica","Eukaryota;Protists;Kinetoplasts","LEM423","SAMN02212518","PRJNA192712","GCA_000441995.1","Scaffold",32.32,59.5,,"ATBU01",336,0,"2013-07-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/441/995/GCA_000441995.1_Leishmania_turanica_LEM423-1.0.2",
"Dactylellina haptotyla CBS 200.50","Eukaryota;Fungi;Ascomycetes","CBS 200.50","SAMN02981526","PRJNA245132","GCA_000441935.1","Scaffold",39.5319,45.3,,"AQGS01",1279,10959,"2013-07-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/441/935/GCA_000441935.1_MHA_v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/441/935/GCF_000441935.1_MHA_v2"
"Fomitopsis pinicola FP-58527 SS1","Eukaryota;Fungi;Basidiomycetes","FP-58527 SS1","SAMN02981279","PRJNA52941","GCA_000344655.2","Scaffold",41.6144,55.4,,"AEHC02",504,13852,"2013-03-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/344/655/GCA_000344655.2_Fompi3",
"Elaeis oleifera","Eukaryota;Plants;Land Plants","","SAMN02981531","PRJNA183707","GCA_000441515.1","Scaffold",1402.73,40.8,,"ASIR01",26756,0,"2013-07-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/441/515/GCA_000441515.1_EO8",
"Gyalolechia flavorubescens KoLRI002931","Eukaryota;Fungi;Ascomycetes","KoLRI002931","SAMN02981550","PRJNA210248","GCA_000442125.1","Scaffold",34.4682,41.9,,"AUPK01",36,0,"2013-07-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/442/125/GCA_000442125.1_Cafla_v1",
"Papiliotrema flavescens NRRL Y-50378","Eukaryota;Fungi;Basidiomycetes","NRRL Y-50378","SAMEA2272018","PRJEB640","GCA_000442785.1","Scaffold",22.7905,58.5,,"CAUG01",712,0,"2013-04-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/442/785/GCA_000442785.1_Cf_30_300r_Split10plusN",
"Zygosaccharomyces bailii CLIB 213","Eukaryota;Fungi;Ascomycetes","CLIB 213 = CBS 680","SAMEA2272794","PRJEB1908","GCA_000442885.1","Scaffold",10.2688,42.5,,,27,4723,"2013-07-10T23:05:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/442/885/GCA_000442885.1_ZYBA0",
"Pythium aphanidermatum DAOM BR444","Eukaryota;Protists;Other Protists","DAOM BR444","SAMN02981430","PRJNA169051","GCA_000387445.2","Scaffold",35.8768,53.5,,"AKXX02",1774,0,"2013-05-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/387/445/GCA_000387445.2_pag1_scaffolds_v1",
"Pythium arrhenomanes ATCC 12531","Eukaryota;Protists;Other Protists","ATCC 12531","SAMN02981431","PRJNA169052","GCA_000387505.2","Scaffold",44.6726,56.1,,"AKXY02",10972,0,"2013-05-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/387/505/GCA_000387505.2_par_scaffolds_v1",
"Pythium irregulare DAOM BR486","Eukaryota;Protists;Other Protists","DAOM BR486","SAMN02981432","PRJNA169053","GCA_000387425.2","Scaffold",42.9681,53.6,,"AKXZ02",5887,0,"2013-05-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/387/425/GCA_000387425.2_pir_scaffolds_v1",
"Pythium iwayamai DAOM BR242034","Eukaryota;Protists;Other Protists","DAOM BR242034","SAMN02981433","PRJNA169054","GCA_000387465.2","Scaffold",43.1992,54.6,,"AKYA02",11541,0,"2013-05-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/387/465/GCA_000387465.2_piw_scaffolds_v1",
"Camelus ferus","Eukaryota;Animals;Mammals","Naran","SAMN01910617","PRJNA76177","GCA_000311805.2","Scaffold",2009.19,41.3,"mitochondrion MT:NC_009629.2/EF212038.2","AGVR01",13334,31796,"2012-11-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/311/805/GCA_000311805.2_CB1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/311/805/GCF_000311805.1_CB1"
"Toxoplasma gondii ME49","Eukaryota;Protists;Apicomplexans","ME49","SAMN00255192","PRJNA28893","GCA_000006565.2"," Chromosome",65.6681,52.2873,"chromosome Ia:NC_031467.1/CM002034.1; chromosome Ib:NC_031468.1/CM002035.1; chromosome II:NC_031469.1/CM002036.1; chromosome III:NC_031470.1/CM002037.1; chromosome IV:NC_031471.1/CM002038.1; chromosome V:NC_031472.1/CM002039.1; chromosome VI:NC_031473.1/CM002040.1; chromosome VIIa:NC_031474.1/CM002041.1; chromosome VIIb:NC_031475.1/CM002042.1; chromosome VIII:NC_031476.1/CM002043.1; chromosome IX:NC_031477.1/CM002044.1; chromosome X:NC_031478.1/CM002045.1; chromosome XI:NC_031479.1/CM002046.1; chromosome XII:NC_031480.1/CM002047.1; apicoplast Pltd:NC_001799.1/U87145.2","ABPA02",2277,8318,"2008-05-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/565/GCA_000006565.2_TGA4","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/565/GCF_000006565.2_TGA4"
"Cladonia macilenta KoLRI003786","Eukaryota;Fungi;Ascomycetes","KoLRI003786","SAMN02981551","PRJNA210603","GCA_000444155.1","Scaffold",37.1171,44.8,,"AUPP01",240,0,"2013-08-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/444/155/GCA_000444155.1_Clmac_v1",
"Encephalitozoon romaleae SJ-2008","Eukaryota;Fungi;Other Fungi","SJ-2008","SAMN03081437","PRJNA215743","GCA_000280035.2"," Chromosome",2.18759,40.3432,"chromosome I:NC_024896.1/CP003518.1; chromosome II:NC_024897.1/CP003519.1; chromosome III:NC_024898.1/CP003520.1; chromosome IV:NC_024899.1/CP003521.1; chromosome V:NC_024900.1/CP003522.1; chromosome VI:NC_024901.1/CP003523.1; chromosome VII:NC_024902.1/CP003524.1; chromosome VIII:NC_024903.1/CP003525.1; chromosome X:NC_024904.1/CP003529.1; chromosome XI:NC_024905.1/CP003530.1",,13,1831,"2012-07-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/280/035/GCA_000280035.2_ASM28003v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/280/035/GCF_000280035.1_ASM28003v2"
"Botryllus schlosseri","Eukaryota;Animals;Other Animals","356a","SAMN02179234","PRJNA205369","GCA_000444245.1","Scaffold",579.633,40.6,,"ATSW01",120139,0,"2013-07-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/444/245/GCA_000444245.1_356a-chromosome-assembly",
"Leishmania gerbilli","Eukaryota;Protists;Kinetoplasts","LEM452","SAMN02214423","PRJNA192717","GCA_000443025.1","Scaffold",31.3986,59.6,,"ATBK01",492,0,"2013-08-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/443/025/GCA_000443025.1_Leishmania_gerbilii_LEM452-1.0.2",
"Phytophthora cambivora","Eukaryota;Protists;Other Protists","CBS 114087","SAMN02178787","PRJNA190824","GCA_000443045.1","Scaffold",230.616,52.9,,"AUVH01",72332,0,"2013-08-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/443/045/GCA_000443045.1_PhytoCambi_1.0",
"Schizosaccharomyces cryophilus OY26","Eukaryota;Fungi;Ascomycetes","OY26","SAMN02953762","PRJNA38373","GCA_000004155.2","Scaffold",11.5548,37.7,,"ACQJ02",30,5180,"2009-11-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/004/155/GCA_000004155.2_SCY4","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/155/GCF_000004155.1_SCY4"
"Lipotes vexillifer","Eukaryota;Animals;Mammals","","SAMN02953859","PRJNA174066","GCA_000442215.1","Scaffold",2429.21,41.4,"mitochondrion MT:NC_007629.1/AY789529.1","AUPI01",30713,26901,"2013-07-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/442/215/GCA_000442215.1_Lipotes_vexillifer_v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/442/215/GCF_000442215.1_Lipotes_vexillifer_v1"
"Genlisea aurea","Eukaryota;Plants;Land Plants","","SAMN02206260","PRJNA208769","GCA_000441915.1","Scaffold",43.3578,40.6,,"AUSU01",10684,17685,"2013-07-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/441/915/GCA_000441915.1_GenAur_1.0",
"Morus notabilis","Eukaryota;Plants;Land Plants","","SAMN02141246","PRJNA202089","GCA_000414095.2","Scaffold",320.379,35.5,,"ATGF01",31301,27648,"2013-06-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/414/095/GCA_000414095.2_ASM41409v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/414/095/GCF_000414095.1_ASM41409v2"
"Elaeis guineensis","Eukaryota;Plants;Land Plants","","SAMN02981535","PRJNA268357","GCA_000442705.1"," Chromosome",1535.18,40.999,"chromosome 1:NC_025993.1/CM002081.1; chromosome 2:NC_025994.1/CM002082.1; chromosome 3:NC_025995.1/CM002083.1; chromosome 4:NC_025996.1/CM002084.1; chromosome 5:NC_025997.1/CM002085.1; chromosome 6:NC_025998.1/CM002086.1; chromosome 7:NC_025999.1/CM002087.1; chromosome 8:NC_026000.1/CM002088.1; chromosome 9:NC_026001.1/CM002089.1; chromosome 10:NC_026002.1/CM002090.1; chromosome 11:NC_026003.1/CM002091.1; chromosome 12:NC_026004.1/CM002092.1; chromosome 13:NC_026005.1/CM002093.1; chromosome 14:NC_026006.1/CM002094.1; chromosome 15:NC_026007.1/CM002095.1; chromosome 16:NC_026008.1/CM002096.1; chloroplast Pltd:NC_017602.1/JF274081.1","ASJS01",40349,41887,"2013-07-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/442/705/GCA_000442705.1_EG5","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/442/705/GCF_000442705.1_EG5"
"Nosema apis BRL 01","Eukaryota;Fungi;Other Fungi","BRL 01","SAMN01925610","PRJNA66735","GCA_000447185.1","Scaffold",8.5695,18.9,,"ANPH01",554,2764,"2013-08-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/447/185/GCA_000447185.1_NapisBRLv01",
"Schizosaccharomyces japonicus yFS275","Eukaryota;Fungi;Ascomycetes","yFS275","SAMN02953668","PRJNA13640","GCA_000149845.2","Scaffold",11.7332,44.1,,"AATM02",32,4878,"2006-10-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/845/GCA_000149845.2_SJ5","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/845/GCF_000149845.2_SJ5"
"Encephalitozoon hellem ATCC 50504","Eukaryota;Fungi;Other Fungi","ATCC 50504","SAMN03081428","PRJNA53973","GCA_000277815.3"," Chromosome",2.25178,43.365,"chromosome I:NC_018468.1/CP002713.1; chromosome II:NC_018469.1/CP002714.1; chromosome III:NC_018470.1/CP002715.1; chromosome IV:NC_018471.1/CP002716.1; chromosome V:NC_018472.1/CP002717.1; chromosome VI:NC_018473.1/CP002718.1; chromosome VII:NC_018474.1/CP002719.1; chromosome VIII:NC_018475.1/CP002720.1; chromosome X:NC_018479.1/CP002723.1; chromosome XI:NC_018480.1/CP002724.1",,12,1847,"2012-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/815/GCA_000277815.3_ASM27781v3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/277/815/GCF_000277815.2_ASM27781v3"
"Alligator sinensis","Eukaryota;Animals;Reptiles","","SAMN02981559","PRJNA221633","GCA_000455745.1","Scaffold",2270.57,44.6,"mitochondrion MT:NC_004448.1/AF511507.1","AVPB01",9317,43105,"2013-08-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/455/745/GCA_000455745.1_ASM45574v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/455/745/GCF_000455745.1_ASM45574v1"
"Schizosaccharomyces octosporus yFS286","Eukaryota;Fungi;Ascomycetes","yFS286","SAMN02953709","PRJNA13639","GCA_000150505.2","Scaffold",11.6345,37.9,,"ABHY03",5,4986,"2007-12-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/150/505/GCA_000150505.2_SO6","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/150/505/GCF_000150505.1_SO6"
"Rozella allomycis CSF55","Eukaryota;Fungi;Other Fungi","CSF55","SAMN01940551","PRJNA81749","GCA_000442015.1","Scaffold",11.8593,35,,"ATJD01",1059,6350,"2013-07-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/442/015/GCA_000442015.1_Rozella_k41_t100",
"Endocarpon pusillum Z07020","Eukaryota;Fungi;Ascomycetes","Z07020","SAMN02981524","PRJNA245134","GCA_000464535.1","Scaffold",37.1306,46,,"APWS01",908,9238,"2013-09-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/464/535/GCA_000464535.1_EPUS","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/464/535/GCF_000464535.1_EPUS"
"Tarenaya hassleriana","Eukaryota;Plants;Land Plants","","SAMN02981509","PRJNA175230","GCA_000463585.1","Scaffold",249.93,40.5,,"AOUI01",12249,41094,"2013-09-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/463/585/GCA_000463585.1_ASM46358v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/463/585/GCF_000463585.1_ASM46358v1"
"Panthera tigris altaica","Eukaryota;Animals;Mammals","TaeGuk","SAMN02086964","PRJNA236771","GCA_000464555.1","Scaffold",2391.08,41.5,"mitochondrion MT:NC_010642.1/EF551003.1","ATCQ01",1479,29473,"2013-09-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/464/555/GCA_000464555.1_PanTig1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/464/555/GCF_000464555.1_PanTig1.0"
"Pyrenophora seminiperda CCB06","Eukaryota;Fungi;Ascomycetes","CCB06","SAMN02981545","PRJNA192591","GCA_000465215.1","Scaffold",32.5392,49.8,,"ATLS01",54,0,"2013-09-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/465/215/GCA_000465215.1_Pysem1.0",
"Biomphalaria glabrata","Eukaryota;Animals;Other Animals","BB02","SAMN02953846","PRJNA12879","GCA_000457365.1","Scaffold",916.388,36.1998,"mitochondrion MT:NC_005439.1/AY380531.1","APKA01",331401,36675,"2013-08-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/457/365/GCA_000457365.1_ASM45736v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/457/365/GCF_000457365.1_ASM45736v1"
"Cronartium comandrae C4","Eukaryota;Fungi;Basidiomycetes","C4","SAMN02178793","PRJNA190832","GCA_000464975.1","Scaffold",68.6058,40.7,,"AUZW01",35717,0,"2013-09-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/464/975/GCA_000464975.1_Cron_com_1.0",
"Lethenteron camtschaticum","Eukaryota;Animals;Fishes","","SAMN02981514","PRJNA237018","GCA_000466285.1","Scaffold",1030.66,48.1,,"APJL01",86125,0,"2013-09-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/466/285/GCA_000466285.1_LetJap1.0",
